order,season,episode,character_killed,killer,method,method_cat,reason,location,allegiance,importance
1,1,1,Waymar Royce,White Walker,Ice sword,Blade,Unknown,Beyond the Wall,"House Royce, Night’s Watch",2
2,1,1,Gared,White Walker,Ice sword,Blade,Unknown,Beyond the Wall,Night’s Watch,2
3,1,1,Will,Ned Stark,Sword (Ice),Blade,Deserting the Night’s Watch,Winterfell,Night’s Watch,2
4,1,1,Stag,Direwolf,Direwolf teeth,Animal,Unknown,Winterfell,None,1
5,1,1,Direwolf,Stag,Antler,Animal,Unknown,Winterfell,None,1
6,1,1,Jon Arryn,Lysa Arryn,Poison,Poison,Petyr Baelish persuaded Lysa to do so for reasons unknown,King’s Landing,House Arryn,2
7,1,1,Dothraki man,Dothraki man,Arakh,Blade,A Dothraki wedding without at least three deaths is a dull affair,Pentos,Dothraki,1
8,1,2,Catspaw assassin,Summer,Direwolf teeth,Animal,Attempting to kill Bran Stark,Winterfell,None,1
9,1,2,Mycah,Sandor “the Hound” Clegane,Unknown (likely a sword),Unknown,Joffrey has him killed after Arya attacks Joffrey,Kingsroad,Smallfolk,3
10,1,2,Lady,Ned Stark,Knife,Blade,"Robert Baratheon orders that Lady be killed to appease Cersei, who wants revenge after Nymeria attacked Joffrey",Kingsroad,House Stark,3
11,1,4,Ser Hugh of the Vale,Gregor “the Mountain” Clegane,Spear,Polearm,Killed during a tournament,King’s Landing,House Arryn,2
12,1,5,Clegane’s horse,Gregor “the Mountain” Clegane,Sword,Blade,Gregor was angry at being unhorsed in the tournament by Loras Tyrell,King’s Landing,House Clegane,1
13,1,5,Stark soldier,Tribesman,Bolo,Other,Attacked while helping Catelyn Stark take Tyrion Lannister to the Vale,Eastern Road,House Stark,1
14,1,5,Tribesman,Bronn,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,None,1
15,1,5,Tribesman,Bronn,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,None,1
16,1,5,Tribesman,Bronn,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,None,1
17,1,5,Stark soldier,Tribesman,Mace,Mace,Attacked while helping Catelyn Stark take Tyrion Lannister to the Vale,Eastern Road,House Stark,1
18,1,5,Tribesman,Tyrion Lannister,Shield,Other,Attacked Catelyn Stark,Eastern Road,None,1
19,1,5,Tribesman,Rodrik Cassel,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,None,1
20,1,5,Tribesman,Rodrik Cassel,Sword,Blade,Attacked Catelyn Stark’s group that was taking Tyrion Lannister to the Vale,Eastern Road,None,1
